"name","version","build","channel"
"requests","2.32.5",,"conda-forge"
"rfc3339-validator","0.1.4",,"pypi"
"rfc3986-validator","0.1.1",,"pypi"
"rfc3987-syntax","1.1.0",,"pypi"
"rich","14.1.0",,"conda-forge"
"rpds-py","0.27.1",,"pypi"
"scalapack","2.2.0",,"conda-forge"
"scanpy","1.10.3",,"conda-forge"
"scikit-learn","1.6.1",,"conda-forge"
"scipy","1.13.1",,"conda-forge"
"scvelo","0.3.3",,"conda-forge"
"scvi-tools","1.1.6.post2",,"conda-forge"
"seaborn","0.13.2",,"conda-forge"
"seaborn-base","0.13.2",,"conda-forge"
"send2trash","1.8.3",,"pypi"
"session-info","1.0.1",,"pypi"
"setuptools","80.9.0",,"pypi"
"six","1.17.0",,"conda-forge"
"sleef","3.9.0",,"conda-forge"
"slepc","3.21.2",,"conda-forge"
"slepc4py","3.21.2",,"conda-forge"
"snappy","1.2.2",,"conda-forge"
"sniffio","1.3.1",,"conda-forge"
"soupsieve","2.8",,"pypi"
"sparse","0.15.5",,"conda-forge"
"stack_data","0.6.3",,"conda-forge"
"statsmodels","0.14.5",,"conda-forge"
"stdlib-list","0.11.1",,"conda-forge"
"suitesparse","7.8.3",,"conda-forge"
"superlu","7.0.1",,"conda-forge"
"superlu_dist","9.1.0",,"conda-forge"
"svt-av1","4.2.0",,"conda-forge"
"sympy","1.14.0",,"conda-forge"
"tbb","2022.3.0",,"conda-forge"
"tensorstore","0.1.65",,"conda-forge"
"terminado","0.18.1",,"pypi"
"texttable","1.7.0",,"pypi"
"threadpoolctl","3.6.0",,"conda-forge"
"tinycss2","1.4.0",,"pypi"
"tk","8.6.13",,"conda-forge"
"tomli","2.2.1",,"pypi"
"toolz","1.0.0",,"conda-forge"
"torchmetrics","1.8.2",,"conda-forge"
"tornado","6.5.2",,"conda-forge"
"tqdm","4.67.1",,"conda-forge"
"traitlets","5.14.3",,"conda-forge"
"triton","3.2.0",,"conda-forge"
"types-python-dateutil","2.9.0.20250822",,"pypi"
"typing-extensions","4.15.0",,"pypi"
"tzdata","2025b",,"conda-forge"
"ucc","1.6.0",,"conda-forge"
"ucx","1.19.0",,"conda-forge"
"umap-learn","0.5.9.post2",,"conda-forge"
"unicodedata2","16.0.0",,"conda-forge"
"uri-template","1.3.0",,"pypi"
"urllib3","2.5.0",,"conda-forge"
"velocyto","0.17.17",,"pypi"
"wayland","1.24.0",,"conda-forge"
"wcwidth","0.2.14",,"pypi"
"webcolors","24.11.1",,"pypi"
"webencodings","0.5.1",,"pypi"
"websocket-client","1.8.0",,"pypi"
"wheel","0.45.1",,"conda-forge"
"widgetsnbextension","4.0.14",,"pypi"
"wrapt","1.17.3",,"conda-forge"
"xarray","2024.7.0",,"conda-forge"
"xcb-util","0.4.1",,"conda-forge"
"xcb-util-cursor","0.1.5",,"conda-forge"
"xcb-util-image","0.4.0",,"conda-forge"
"xcb-util-keysyms","0.4.1",,"conda-forge"
"xcb-util-renderutil","0.3.10",,"conda-forge"
"xcb-util-wm","0.4.2",,"conda-forge"
"xdg","6.0.0",,"pypi"
"xkeyboard-config","2.45",,"conda-forge"
"xlrd","2.0.1",,"conda-forge"
"xlsxwriter","3.2.9",,"pypi"
"xorg-libice","1.1.2",,"conda-forge"
"xorg-libsm","1.2.6",,"conda-forge"
"xorg-libx11","1.8.12",,"conda-forge"
"xorg-libxau","1.0.12",,"conda-forge"
"xorg-libxcomposite","0.4.6",,"conda-forge"
"xorg-libxcursor","1.2.3",,"conda-forge"
"xorg-libxdamage","1.1.6",,"conda-forge"
"xorg-libxdmcp","1.1.5",,"conda-forge"
"xorg-libxext","1.3.6",,"conda-forge"
"xorg-libxfixes","6.0.1",,"conda-forge"
"xorg-libxi","1.8.2",,"conda-forge"
"xorg-libxrandr","1.5.4",,"conda-forge"
"xorg-libxrender","0.9.12",,"conda-forge"
"xorg-libxtst","1.2.5",,"conda-forge"
"xorg-libxxf86vm","1.1.6",,"conda-forge"
"xxhash","3.5.0",,"pypi"
"xz","5.8.1",,"conda-forge"
"xz-gpl-tools","5.8.1",,"conda-forge"
"xz-tools","5.8.1",,"conda-forge"
"yaml","0.2.5",,"conda-forge"
"zeromq","4.3.5",,"conda-forge"
"zipp","3.23.0",,"conda-forge"
"zlib","1.3.1",,"conda-forge"
"zstandard","0.23.0",,"conda-forge"
"zstd","1.5.7",,"conda-forge"
